4.420000000000000000e+02,1.517000000000000000e+03
4.410000000000000000e+02,1.521000000000000000e+03
4.380000000000000000e+02,1.527000000000000000e+03
4.300000000000000000e+02,1.535000000000000000e+03
4.240000000000000000e+02,1.538000000000000000e+03
4.200000000000000000e+02,1.539000000000000000e+03
4.100000000000000000e+02,1.539000000000000000e+03
4.070000000000000000e+02,1.538000000000000000e+03
4.010000000000000000e+02,1.535000000000000000e+03
3.930000000000000000e+02,1.527000000000000000e+03
3.900000000000000000e+02,1.521000000000000000e+03
3.890000000000000000e+02,1.517000000000000000e+03
3.890000000000000000e+02,1.509000000000000000e+03
3.900000000000000000e+02,1.505000000000000000e+03
3.930000000000000000e+02,1.499000000000000000e+03
4.010000000000000000e+02,1.491000000000000000e+03
4.050000000000000000e+02,1.489000000000000000e+03
4.110000000000000000e+02,1.487000000000000000e+03
4.200000000000000000e+02,1.487000000000000000e+03
4.240000000000000000e+02,1.488000000000000000e+03
4.300000000000000000e+02,1.491000000000000000e+03
4.380000000000000000e+02,1.499000000000000000e+03
4.410000000000000000e+02,1.505000000000000000e+03
4.420000000000000000e+02,1.509000000000000000e+03
